,Id,Url,Headline,Author,Date
0,1,/2023/4/12/23677909/hbo-discovery-combined-max-streaming-service-price-availability,HBO and Discovery’s ‘Max’ streaming service is here,Emma Roth,Apr 12
1,2,/2023/4/12/23680612/max-warner-bros-discovery-streaming-service-reveal-event-hbo,It’s now just Max: all of the news from Warner Bros. Discovery’s reveal event,Jay Peters,Apr 12
2,3,/2023/4/12/23680394/npr-leaves-twitter-elon-musk-bbc-substack,NPR becomes first major news organization to leave Twitter,Ariel Shapiro,Apr 12
3,4,/2023/4/12/23680207/chipotle-gas-grill-electric-stove-climate-change,Chipotle plans to ditch gas grills at 100 new locations,Justine Calma,Apr 12
4,5,/2023/4/12/23679998/linkedin-verification-badge-system-clear-microsoft-entra,LinkedIn gets a free verified badge that lets you prove where you work,Tom Warren,Apr 12
